> Air Mass 1.5 spectrum "Direct + Circumsolar" (DCS) "edition 2", normalised to 1 sun (1000 W/m2)
> Direct = Direct Normal Irradiance Nearly parallel (0.5 deg divergent cone) radiation 
> on surface with surface normal tracking (pointing to) the sun, 
> excluding scattered sky and reflected ground radiation
> Circumsolar = Spectral irradiance within +/- 2.5 degree (5 degree diameter) field of view 
> centered on the 0.5 deg diameter solar disk, but excluding the radiation from the disk  
> Source: "ASTM G173-03 Reference Spectra 
Derived from SMARTS v. 2.9.2 (AM1.5)"							
> (NREL website, april 2009)
> Adaption to SCAPS format: MB 17-5-2009
> The first column is wavelength in nm
> The value in the second column is the incident power, in W/m2, in a wavelength range from half-away the preceeding lambda-interval, to half-away the next lambda-interval
> (we have artificially added one line before the table: 279 nm, 0 W/m2/nm
>   and one line after the table: 4010 nm, 0 W/m2/nm)
> The total incident power of the AM1.5CDS ed.2 spectrum (summing the data in the second column) is 900.17492878 W/m2
> In this table, the spectrum is normalised to 1 sun incident power (1000 W/m2)
> by multiplying the second column with 1000/900.17492878
>
>lambda (nm)	P(W/m2)
390.0	3.246980E-01
390.5	3.279252E-01
391.0	3.478990E-01
391.5	3.533591E-01
392.0	3.258033E-01
392.5	2.719527E-01
393.0	1.971950E-01
393.5	1.570361E-01
394.0	2.042936E-01
394.5	2.822285E-01
395.0	3.338018E-01
395.5	3.560475E-01
396.0	3.135113E-01
396.5	2.282945E-01
397.0	1.770878E-01
397.5	2.618991E-01
398.0	3.551754E-01
398.5	4.200406E-01
399.0	4.466243E-01
399.5	4.609104E-01
400.0	6.997723E-01
401.0	9.741551E-01
402.0	1.015214E+00
403.0	9.799318E-01
404.0	9.981282E-01
405.0	9.759103E-01
406.0	9.540146E-01
407.0	9.392063E-01
408.0	9.830089E-01
409.0	1.052207E+00
410.0	8.988253E-01
411.0	1.008360E+00
412.0	1.074080E+00
413.0	1.032588E+00
414.0	1.023512E+00
415.0	1.061671E+00
416.0	1.095654E+00
417.0	1.070814E+00
418.0	1.026378E+00
419.0	1.070392E+00
420.0	9.827756E-01
421.0	1.118338E+00
422.0	1.105330E+00
423.0	1.072358E+00
424.0	1.068481E+00
425.0	1.103252E+00
426.0	1.073869E+00
427.0	1.039242E+00
428.0	1.051185E+00
429.0	9.749883E-01
430.0	7.791152E-01
431.0	7.085178E-01
432.0	1.180659E+00
433.0	1.100342E+00
434.0	1.018169E+00
435.0	1.118671E+00
436.0	1.228761E+00
437.0	1.255978E+00
438.0	1.103874E+00
439.0	1.063715E+00
440.0	1.221207E+00
441.0	1.206321E+00
442.0	1.293082E+00
443.0	1.313411E+00
444.0	1.281640E+00
445.0	1.332186E+00
446.0	1.195990E+00
447.0	1.361624E+00
448.0	1.379954E+00
449.0	1.378510E+00
450.0	1.430944E+00
451.0	1.485933E+00
452.0	1.424390E+00
453.0	1.316855E+00
454.0	1.414170E+00
455.0	1.405838E+00
456.0	1.453940E+00
457.0	1.467826E+00
458.0	1.438165E+00
459.0	1.428500E+00
460.0	1.420946E+00
461.0	1.472492E+00
462.0	1.487711E+00
463.0	1.494376E+00
464.0	1.450274E+00
465.0	1.433610E+00
466.0	1.465271E+00
467.0	1.401505E+00
468.0	1.463938E+00
469.0	1.471603E+00
470.0	1.416280E+00
471.0	1.441387E+00
472.0	1.517594E+00
473.0	1.460161E+00
474.0	1.477935E+00
475.0	1.528036E+00
476.0	1.477380E+00
477.0	1.487711E+00
478.0	1.537368E+00
479.0	1.509262E+00
480.0	1.535813E+00
481.0	1.537035E+00
482.0	1.544033E+00
483.0	1.526592E+00
484.0	1.498820E+00
485.0	1.494932E+00
486.0	1.212875E+00
487.0	1.359180E+00
488.0	1.472158E+00
489.0	1.387730E+00
490.0	1.551698E+00
491.0	1.492488E+00
492.0	1.423945E+00
493.0	1.524037E+00
494.0	1.488822E+00
495.0	1.581693E+00
496.0	1.505041E+00
497.0	1.531702E+00
498.0	1.490932E+00
499.0	1.491821E+00
500.0	1.487600E+00
501.0	1.443053E+00
502.0	1.443164E+00
503.0	1.510484E+00
504.0	1.408837E+00
505.0	1.510595E+00
506.0	1.572250E+00
507.0	1.505041E+00
508.0	1.467493E+00
509.0	1.538590E+00
510.0	1.499375E+00
511.0	1.527814E+00
512.0	1.569139E+00
513.0	1.474936E+00
514.0	1.444497E+00
515.0	1.486933E+00
516.0	1.501264E+00
517.0	1.223873E+00
518.0	1.400283E+00
519.0	1.357736E+00
520.0	1.482934E+00
521.0	1.494376E+00
522.0	1.528592E+00
523.0	1.441498E+00
524.0	1.551032E+00
525.0	1.539590E+00
526.0	1.497376E+00
527.0	1.310301E+00
528.0	1.500597E+00
529.0	1.571028E+00
530.0	1.510595E+00
531.0	1.593912E+00
532.0	1.565696E+00
533.0	1.398617E+00
534.0	1.498709E+00
535.0	1.522038E+00
536.0	1.587691E+00
537.0	1.469603E+00
538.0	1.543700E+00
539.0	1.506152E+00
540.0	1.454828E+00
541.0	1.399172E+00
542.0	1.523482E+00
543.0	1.498931E+00
544.0	1.552032E+00
545.0	1.517150E+00
546.0	1.503708E+00
547.0	1.523815E+00
548.0	1.480934E+00
549.0	1.527703E+00
550.0	1.516150E+00
551.0	1.515150E+00
552.0	1.546699E+00
553.0	1.503374E+00
554.0	1.533258E+00
555.0	1.542256E+00
556.0	1.516483E+00
557.0	1.479823E+00
558.0	1.512262E+00
559.0	1.431388E+00
560.0	1.457272E+00
561.0	1.542478E+00
562.0	1.469159E+00
563.0	1.525370E+00
564.0	1.495931E+00
565.0	1.505818E+00
566.0	1.424501E+00
567.0	1.518927E+00
568.0	1.505707E+00
569.0	1.469492E+00
570.0	1.470825E+00
571.0	1.423057E+00
572.0	1.503486E+00
573.0	1.510262E+00
574.0	1.502708E+00
575.0	1.469159E+00
576.0	1.457272E+00
577.0	1.494376E+00
578.0	1.448607E+00
579.0	1.469714E+00
580.0	1.494709E+00
581.0	1.501708E+00
582.0	1.525148E+00
583.0	1.541034E+00
584.0	1.538034E+00
585.0	1.526037E+00
586.0	1.489599E+00
587.0	1.522815E+00
588.0	1.488933E+00
589.0	1.286639E+00
590.0	1.368179E+00
591.0	1.463160E+00
592.0	1.433055E+00
593.0	1.453717E+00
594.0	1.447385E+00
595.0	1.429722E+00
596.0	1.473047E+00
597.0	1.477824E+00
598.0	1.459938E+00
599.0	1.460272E+00
600.0	1.475047E+00
601.0	1.457828E+00
602.0	1.436165E+00
603.0	1.466937E+00
604.0	1.492932E+00
605.0	1.490599E+00
606.0	1.483378E+00
607.0	1.492377E+00
608.0	1.487711E+00
609.0	1.476602E+00
610.0	1.470492E+00
611.0	1.463049E+00
612.0	1.485267E+00
613.0	1.464382E+00
614.0	1.420057E+00
615.0	1.472380E+00
616.0	1.433721E+00
617.0	1.415725E+00
618.0	1.469492E+00
619.0	1.476602E+00
620.0	1.477380E+00
621.0	1.484045E+00
622.0	1.431055E+00
623.0	1.421168E+00
624.0	1.416502E+00
625.0	1.407171E+00
626.0	1.405838E+00
627.0	1.446608E+00
628.0	1.369512E+00
629.0	1.417280E+00
630.0	1.398506E+00
631.0	1.421835E+00
632.0	1.369401E+00
633.0	1.456384E+00
634.0	1.433832E+00
635.0	1.451385E+00
636.0	1.418391E+00
637.0	1.466826E+00
638.0	1.476602E+00
639.0	1.470603E+00
640.0	1.439942E+00
641.0	1.440831E+00
642.0	1.443608E+00
643.0	1.458605E+00
644.0	1.452384E+00
645.0	1.463049E+00
646.0	1.421613E+00
647.0	1.415725E+00
648.0	1.402505E+00
649.0	1.359069E+00
650.0	1.366290E+00
651.0	1.452051E+00
652.0	1.395062E+00
653.0	1.438609E+00
654.0	1.422723E+00
655.0	1.357514E+00
656.0	1.191657E+00
657.0	1.246202E+00
658.0	1.393063E+00
659.0	1.398173E+00
660.0	1.407282E+00
661.0	1.401728E+00
662.0	1.390619E+00
663.0	1.392951E+00
664.0	1.404949E+00
665.0	1.429833E+00
666.0	1.428611E+00
667.0	1.418280E+00
668.0	1.423057E+00
669.0	1.447719E+00
670.0	1.427834E+00
671.0	1.425167E+00
672.0	1.405394E+00
673.0	1.417502E+00
674.0	1.415503E+00
675.0	1.404060E+00
676.0	1.420391E+00
677.0	1.407393E+00
678.0	1.414947E+00
679.0	1.402950E+00
680.0	1.405282E+00
681.0	1.399839E+00
682.0	1.406615E+00
683.0	1.391507E+00
684.0	1.382509E+00
685.0	1.383509E+00
686.0	1.352404E+00
687.0	9.807538E-01
688.0	1.132558E+00
689.0	1.139778E+00
690.0	1.193768E+00
691.0	1.244314E+00
692.0	1.279307E+00
693.0	1.271531E+00
694.0	1.257311E+00
695.0	1.281751E+00
696.0	1.278974E+00
697.0	1.349849E+00
698.0	1.328742E+00
699.0	1.302080E+00
